# Cotas PROVISÓRIAS por percentil da série ANA (seca=P10, alerta=P75, emergência=P90).
# Substituir por valores oficiais assim que disponíveis. Linhas com # são ignoradas pelo motor.
codigo_estacao,nome_estacao,municipio,cota_seca_cm,cota_alerta_cm,cota_emergencia_cm,observacao
17130000,FOZ DO JURUENA,APIACÁS,413.0,440.0,444.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15747900,UHE DARDANELOS RIBEIRÃO TABOCA,ARIPUANÃ,241.2,249.0,254.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15750500,UHE DARDANELOS MONTANTE,ARIPUANÃ,300.0,315.0,328.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15750600,UHE DARDANELOS JUSANTE,ARIPUANÃ,531.0,559.0,566.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15753900,PCH FAXINAL II MONTANTE,ARIPUANÃ,126.2,136.2,138.8,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15754000,CGH FAXINAL I JUSANTE,ARIPUANÃ,330.1,364.5,375.8,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15122000,PCH RIO PRATA JUSANTE,COMODORO,28.0,29.0,34.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15123000,PCH ESPERANÇA JUSANTE,COMODORO,62.0,65.0,67.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15123100,PCH CABIXI II JUSANTE,COMODORO,93.0,96.0,98.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15124610,CGH MIRANDA ESTÂNCIA JUSANTE,COMODORO,151.0,158.0,162.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15043000,UHE GUAPORÉ MONTANTE 1,JAURU,423.0,427.0,428.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15710000,PCH JUINA MONTANTE 2,JUÍNA,197.0,232.0,264.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15720000,PCH JUINA MONTANTE 1,JUÍNA,91.0,126.0,147.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15740000,PCH JUINA JUSANTE,JUÍNA,95.0,130.0,162.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15121000,PCH SALTO CORGÃO JUSANTE,NOVA LACERDA,61.0,64.0,65.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15121500,CGH NOVA LACERDA JUSANTE,NOVA LACERDA,57.0,58.0,58.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15044100,UHE GUAPORÉ JUSANTE,PONTES E LACERDA,223.0,230.0,232.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15046000,PCH NOVA GUAPORÉ JUSANTE,PONTES E LACERDA,114.0,121.0,124.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
18435000,RIO COMANDANTE FONTOURA,SÃO JOSÉ DO XINGU,467.0,484.0,489.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15046050,UHE GUAPORÉ CÓRREGO PALMITAL,VALE DE SÃO DOMINGOS,21.0,69.0,69.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
15120002,VILA BELA ST.TRINDADE,VILA BELA DA SANTÍSSIMA TRINDADE,149.0,171.0,180.0,PROVISORIO_PERCENTIL — substituir por régua oficial ANA/Defesa Civil
