cod_ibge,municipio,lat,lon,data,municipio_met,lat_met,lon_met,tmax,tmin,tmedia_ref,umidade_media,vento_max,radiacao,fonte,tmedia,heat_index,utci_proxy,limiar_p95_tmedia,p95_tmedia_origem,excesso_tmedia_p95,dia_acima_p95_tmedia,duracao_onda_calor_dias,onda_calor_p95_2d,evento_onda_calor_id,intensidade_onda_calor,severidade_onda_calor,tmedia_3d,tmedia_30d,ehf_adaptado,risco_calor_diario,risco_cumulativo_3d,municipio_press,atendimentos_total,atendimentos_calor,pressao_calor_pct,fonte_pressao,zscore_pressao,ewma_pressao,cusum_pressao,municipio_cap,municipio_stock,autonomia_min_dias,municipio_infra,unidades,unidades_falha,falhas_infra_pct,municipio_busca,cobertura_busca_pct,municipio_com,hora_alerta_inmet,hora_boletim_municipal,canal,status,latencia_horas,municipio_sivep,casos_srag,uti,obitos,letalidade_pct,zscore_srag,municipio_lacen,testes,positivos,positividade_pct,zscore_positividade,municipio_sim,obitos_total,obitos_calor_suspeitos,municipio_rum,rumores_total,score_sentinela,rumores_criticos,municipio_ar,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,co_mgm3,so2_ugm3,fonte_ar,lat_ar,lon_ar,iq_ar_score,qualidade_ar_nivel,poluente_dominante,motivo_qualidade_ar,indice_qualidade_ar_operacional,latencia_comunicacao_horas,positividade_lacen_pct,indice_resiliencia,resil_capacidade_leitos,resil_estoque,resil_infraestrutura,resil_busca_ativa,resil_comunicacao,nivel,score,motivo,data_referencia,ocupacao_leitos_pct,leitos_total,leitos_sus,leitos_ocupados,leitos_bloqueados_movimento,leitos_higienizacao,leitos_reservados,ultima_movimentacao_ocupacao,fonte_ocupacao,leitos_livres
5100102,Acorizal,-15.160222222222224,-56.31262962962963,2026-07-29,Acorizal,-15.160222222222224,-56.31262962962963,35.4,27.7,,44.0,17.1,,openmeteo,31.549999999999997,39.32335973969776,33.76,31.15,p95_proxy_previsao_q70,0.3999999999999986,1,2,1,1,0.3999999999999986,1,31.466666666666665,29.95,,5.490839934924436,17.95081735549722,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,vermelha,3,UTCI/proxy 33.8 entre 32 e 38; Tmax 35.4 sem gatilho; risco cumulativo 3d 17.95 atingiu vermelha; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5100201,Água Boa,-14.090359999999999,-52.463145454545455,2026-07-29,Água Boa,-14.090359999999999,-52.463145454545455,37.3,24.8,,34.0,14.1,,openmeteo,31.049999999999997,39.55874547913564,35.5,29.82,p95_proxy_previsao_q70,1.2299999999999969,1,2,1,1,1.2299999999999969,2,30.3,29.42142857142857,,8.119686369783906,18.76067841633283,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,15.9,63.6,0,0,0,0,roxa,4,UTCI/proxy 35.5 entre 32 e 38; Tmax 37.3 >= 37; risco cumulativo 3d 18.76 atingiu roxa; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 36.39 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,36.3924050632911,948,585,345,166,166,9,2026-06-19 09:25:00,INDICASUS_TEMPO_REAL,603.0
5100250,Alta Floresta,-9.8756,-56.0861,2026-07-29,Alta Floresta,-10.07979,-56.35312625,32.9,22.7,,76.0,5.6,,openmeteo,27.799999999999997,45.827955332015485,32.54,29.83,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,27.866666666666664,29.57833333333333,,3.9969888330038703,12.122981253790543,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,14.0,56.1,0,0,0,0,vermelha,3,UTCI/proxy 32.5 entre 32 e 38; Tmax 32.9 sem gatilho; risco cumulativo 3d 12.12 atingiu vermelha; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 43.85 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,43.8538205980066,602,495,264,31,221,0,2026-06-19 10:00:00,INDICASUS_TEMPO_REAL,338.0
5100300,Alto Araguaia,-17.51334561403509,-53.45525438596491,2026-07-29,Alto Araguaia,-17.51334561403509,-53.45525438596491,33.8,23.0,,36.0,17.3,,openmeteo,28.4,34.16521181628452,32.0,27.52,p95_proxy_previsao_q70,0.879999999999999,1,2,1,1,0.879999999999999,1,27.883333333333336,27.00714285714286,,2.9213029540711286,6.697972063957822,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,amarela,1,UTCI/proxy 32.0 entre 26 e 32; Tmax 33.8 sem gatilho; risco cumulativo 3d 6.70 atingiu amarela; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5100359,Alto Boa Vista,-11.814917021276596,-51.729185106382985,2026-07-29,Alto Boa Vista,-11.814917021276596,-51.729185106382985,34.4,22.0,,52.0,7.6,,openmeteo,28.2,40.018925928675564,33.08,27.750000000000004,p95_proxy_previsao_q70,0.44999999999999574,1,1,0,2,0.0,0,27.78333333333333,27.692857142857143,,3.534731482168885,9.751040783662301,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,laranja,2,UTCI/proxy 33.1 entre 32 e 38; Tmax 34.4 sem gatilho; risco cumulativo 3d 9.75 atingiu laranja; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5100409,Alto Garças,-16.799926666666668,-53.58481777777778,2026-07-29,Alto Garças,-16.799926666666668,-53.58481777777778,33.6,23.7,,34.0,13.8,,openmeteo,28.65,33.46316082547555,31.800000000000004,27.720000000000002,p95_proxy_previsao_q70,0.9299999999999962,1,2,1,1,0.9299999999999962,1,28.099999999999998,26.978571428571428,,2.795790206368883,4.264922171457211,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,amarela,1,UTCI/proxy 31.8 entre 26 e 32; Tmax 33.6 sem gatilho; risco cumulativo 3d 4.26 atingiu amarela; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5100508,Alto Paraguai,-14.74033157894737,-56.647886842105265,2026-07-29,Alto Paraguai,-14.74033157894737,-56.647886842105265,32.8,22.9,,53.0,13.2,,openmeteo,27.849999999999998,36.75246952353772,31.520000000000003,27.5,p95_proxy_previsao_q70,0.34999999999999787,1,1,0,2,0.0,0,27.433333333333337,26.77857142857143,,1.5381173808844277,4.433789269399986,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,amarela,1,UTCI/proxy 31.5 entre 26 e 32; Tmax 32.8 sem gatilho; risco cumulativo 3d 4.43 atingiu amarela; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5100607,Alto Taquari,-17.811610714285713,-53.30258214285714,2026-07-29,Alto Taquari,-17.811610714285713,-53.30258214285714,31.9,22.5,,34.0,19.7,,openmeteo,27.2,31.20181181377565,30.1,27.5,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,26.616666666666664,25.321428571428573,,0.0,0.15878683715279784,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,amarela,1,UTCI/proxy 30.1 entre 26 e 32; Tmax 31.9 sem gatilho; risco cumulativo 3d 0.16 sem gatilho; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5100805,Apiacás,-8.792095488721804,-57.82085714285714,2026-07-29,Apiacás,-8.792095488721804,-57.82085714285714,31.3,23.0,,85.0,5.4,,openmeteo,27.15,43.84135015899566,31.300000000000004,27.5,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,26.916666666666668,26.928571428571427,,2.960337539748915,8.66859645241953,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,25.0,100.0,0,0,0,0,laranja,2,UTCI/proxy 31.3 entre 26 e 32; Tmax 31.3 sem gatilho; risco cumulativo 3d 8.67 atingiu laranja; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 0.00 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,0.0,8,0,0,0,3,0,2026-02-14 08:00:00,INDICASUS_TEMPO_REAL,8.0
5101001,Araguaiana,-15.10400394736842,-51.77268157894736,2026-07-29,Araguaiana,-15.10400394736842,-51.77268157894736,38.1,25.6,,29.0,15.9,,openmeteo,31.85,39.28281929503114,36.300000000000004,30.659999999999997,p95_proxy_previsao_q70,1.1900000000000048,1,1,0,2,0.0,0,31.166666666666668,30.064285714285713,,7.310704823757794,19.484863785804478,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,roxa,4,UTCI/proxy 36.3 entre 32 e 38; Tmax 38.1 >= 37; risco cumulativo 3d 19.48 atingiu roxa; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5101209,Araguainha,-16.755383333333334,-53.11515555555556,2026-07-29,Araguainha,-16.755383333333334,-53.11515555555556,34.8,24.2,,33.0,14.4,,openmeteo,29.5,35.03127423233778,33.0,27.919999999999998,p95_proxy_previsao_q70,1.5800000000000018,1,2,1,1,1.5800000000000018,2,28.566666666666666,27.342857142857145,,4.837818558084447,8.655862149706117,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,laranja,2,UTCI/proxy 33.0 entre 32 e 38; Tmax 34.8 sem gatilho; risco cumulativo 3d 8.66 atingiu laranja; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
