data,data_hora,codigo_estacao,municipio,cod_ibge,chuva_mm,cota_cm,vazao_m3s,fonte
2026-07-01,2026-07-01 08:00:00,01455013,Chapada dos Guimaraes,5103007,5,300,80,ANA_SAMPLE
2026-07-02,2026-07-02 08:00:00,01455013,Chapada dos Guimaraes,5103007,6,308,83,ANA_SAMPLE
2026-07-03,2026-07-03 08:00:00,01455013,Chapada dos Guimaraes,5103007,7,316,86,ANA_SAMPLE
2026-07-04,2026-07-04 08:00:00,01455013,Chapada dos Guimaraes,5103007,8,324,89,ANA_SAMPLE
2026-07-05,2026-07-05 08:00:00,01455013,Chapada dos Guimaraes,5103007,9,332,92,ANA_SAMPLE
2026-07-06,2026-07-06 08:00:00,01455013,Chapada dos Guimaraes,5103007,10,340,95,ANA_SAMPLE
2026-07-07,2026-07-07 08:00:00,01455013,Chapada dos Guimaraes,5103007,11,348,98,ANA_SAMPLE
2026-07-08,2026-07-08 08:00:00,01455013,Chapada dos Guimaraes,5103007,12,356,101,ANA_SAMPLE
2026-07-09,2026-07-09 08:00:00,01455013,Chapada dos Guimaraes,5103007,13,364,104,ANA_SAMPLE
2026-07-10,2026-07-10 08:00:00,01455013,Chapada dos Guimaraes,5103007,14,372,107,ANA_SAMPLE
2026-07-11,2026-07-11 08:00:00,01455013,Chapada dos Guimaraes,5103007,15,380,110,ANA_SAMPLE
2026-07-12,2026-07-12 08:00:00,01455013,Chapada dos Guimaraes,5103007,16,388,113,ANA_SAMPLE
2026-07-13,2026-07-13 08:00:00,01455013,Chapada dos Guimaraes,5103007,17,396,116,ANA_SAMPLE
2026-07-14,2026-07-14 08:00:00,01455013,Chapada dos Guimaraes,5103007,18,404,119,ANA_SAMPLE
2026-07-01,2026-07-01 10:00:00,15043000,Jauru,5105000,1,280,70,ANA_SAMPLE
2026-07-02,2026-07-02 10:00:00,15043000,Jauru,5105000,1,270,68,ANA_SAMPLE
2026-07-03,2026-07-03 10:00:00,15043000,Jauru,5105000,1,260,66,ANA_SAMPLE
2026-07-04,2026-07-04 10:00:00,15043000,Jauru,5105000,1,250,64,ANA_SAMPLE
2026-07-05,2026-07-05 10:00:00,15043000,Jauru,5105000,1,240,62,ANA_SAMPLE
2026-07-06,2026-07-06 10:00:00,15043000,Jauru,5105000,1,230,60,ANA_SAMPLE
2026-07-07,2026-07-07 10:00:00,15043000,Jauru,5105000,1,220,58,ANA_SAMPLE
2026-07-08,2026-07-08 10:00:00,15043000,Jauru,5105000,1,210,56,ANA_SAMPLE
2026-07-09,2026-07-09 10:00:00,15043000,Jauru,5105000,1,200,54,ANA_SAMPLE
2026-07-10,2026-07-10 10:00:00,15043000,Jauru,5105000,1,190,52,ANA_SAMPLE
2026-07-11,2026-07-11 10:00:00,15043000,Jauru,5105000,1,180,50,ANA_SAMPLE
2026-07-12,2026-07-12 10:00:00,15043000,Jauru,5105000,1,170,48,ANA_SAMPLE
2026-07-13,2026-07-13 10:00:00,15043000,Jauru,5105000,1,160,46,ANA_SAMPLE
2026-07-14,2026-07-14 10:00:00,15043000,Jauru,5105000,1,150,44,ANA_SAMPLE
2026-07-01,2026-07-01 09:00:00,01355006,Lucas do Rio Verde,5105259,10,,,ANA_SAMPLE
2026-07-02,2026-07-02 09:00:00,01355006,Lucas do Rio Verde,5105259,14,,,ANA_SAMPLE
2026-07-03,2026-07-03 09:00:00,01355006,Lucas do Rio Verde,5105259,18,,,ANA_SAMPLE
2026-07-04,2026-07-04 09:00:00,01355006,Lucas do Rio Verde,5105259,22,,,ANA_SAMPLE
2026-07-05,2026-07-05 09:00:00,01355006,Lucas do Rio Verde,5105259,26,,,ANA_SAMPLE
2026-07-06,2026-07-06 09:00:00,01355006,Lucas do Rio Verde,5105259,30,,,ANA_SAMPLE
2026-07-07,2026-07-07 09:00:00,01355006,Lucas do Rio Verde,5105259,34,,,ANA_SAMPLE
2026-07-08,2026-07-08 09:00:00,01355006,Lucas do Rio Verde,5105259,38,,,ANA_SAMPLE
2026-07-09,2026-07-09 09:00:00,01355006,Lucas do Rio Verde,5105259,42,,,ANA_SAMPLE
2026-07-10,2026-07-10 09:00:00,01355006,Lucas do Rio Verde,5105259,46,,,ANA_SAMPLE
