data,cod_ibge,municipio,grupo,cadastrados,contatados
2026-04-28,5103403,Cuiabá,idosos_sozinhos,8302,1717
2026-04-28,5103403,Cuiabá,acamados,2075,456
2026-04-28,5103403,Cuiabá,gestantes_risco,1383,259
2026-04-28,5103403,Cuiabá,pop_rua,420,79
2026-04-29,5103403,Cuiabá,idosos_sozinhos,8302,1660
2026-04-29,5103403,Cuiabá,acamados,2075,472
2026-04-29,5103403,Cuiabá,gestantes_risco,1383,254
2026-04-29,5103403,Cuiabá,pop_rua,420,77
2026-04-30,5103403,Cuiabá,idosos_sozinhos,8302,1899
2026-04-30,5103403,Cuiabá,acamados,2075,473
2026-04-30,5103403,Cuiabá,gestantes_risco,1383,256
2026-04-30,5103403,Cuiabá,pop_rua,420,92
2026-05-01,5103403,Cuiabá,idosos_sozinhos,8302,1698
2026-05-01,5103403,Cuiabá,acamados,2075,449
2026-05-01,5103403,Cuiabá,gestantes_risco,1383,305
2026-05-01,5103403,Cuiabá,pop_rua,420,95
2026-05-02,5103403,Cuiabá,idosos_sozinhos,8302,1664
2026-05-02,5103403,Cuiabá,acamados,2075,382
2026-05-02,5103403,Cuiabá,gestantes_risco,1383,275
2026-05-02,5103403,Cuiabá,pop_rua,420,94
2026-05-03,5103403,Cuiabá,idosos_sozinhos,8302,1857
2026-05-03,5103403,Cuiabá,acamados,2075,425
2026-05-03,5103403,Cuiabá,gestantes_risco,1383,291
2026-05-03,5103403,Cuiabá,pop_rua,420,86
2026-05-04,5103403,Cuiabá,idosos_sozinhos,8302,1560
2026-05-04,5103403,Cuiabá,acamados,2075,405
2026-05-04,5103403,Cuiabá,gestantes_risco,1383,299
2026-05-04,5103403,Cuiabá,pop_rua,420,93
2026-05-05,5103403,Cuiabá,idosos_sozinhos,8302,1644
2026-05-05,5103403,Cuiabá,acamados,2075,387
2026-05-05,5103403,Cuiabá,gestantes_risco,1383,288
2026-05-05,5103403,Cuiabá,pop_rua,420,87
2026-05-06,5103403,Cuiabá,idosos_sozinhos,8302,1631
