data,cod_ibge,municipio,item,estoque_total,consumo_medio_diario
2026-04-28,5103403,Cuiabá,SRO,6330,540
2026-04-28,5103403,Cuiabá,"Soro fisiológico 0,9%",5019,432
2026-04-28,5103403,Cuiabá,Equipo macro,3939,324
2026-04-28,5103403,Cuiabá,Copo descartável,27049,2880
2026-04-29,5103403,Cuiabá,SRO,6227,540
2026-04-29,5103403,Cuiabá,"Soro fisiológico 0,9%",5019,432
2026-04-29,5103403,Cuiabá,Equipo macro,3895,324
2026-04-29,5103403,Cuiabá,Copo descartável,26500,2880
2026-04-30,5103403,Cuiabá,SRO,6127,540
2026-04-30,5103403,Cuiabá,"Soro fisiológico 0,9%",4867,432
2026-04-30,5103403,Cuiabá,Equipo macro,3902,324
2026-04-30,5103403,Cuiabá,Copo descartável,26115,2880
2026-05-01,5103403,Cuiabá,SRO,6064,540
2026-05-01,5103403,Cuiabá,"Soro fisiológico 0,9%",4869,432
2026-05-01,5103403,Cuiabá,Equipo macro,3853,324
2026-05-01,5103403,Cuiabá,Copo descartável,25569,2880
2026-05-02,5103403,Cuiabá,SRO,5959,540
2026-05-02,5103403,Cuiabá,"Soro fisiológico 0,9%",4736,432
2026-05-02,5103403,Cuiabá,Equipo macro,3772,324
2026-05-02,5103403,Cuiabá,Copo descartável,25200,2880
2026-05-03,5103403,Cuiabá,SRO,5915,540
2026-05-03,5103403,Cuiabá,"Soro fisiológico 0,9%",4709,432
2026-05-03,5103403,Cuiabá,Equipo macro,3661,324
2026-05-03,5103403,Cuiabá,Copo descartável,24687,2880
2026-05-04,5103403,Cuiabá,SRO,5823,540
2026-05-04,5103403,Cuiabá,"Soro fisiológico 0,9%",4664,432
2026-05-04,5103403,Cuiabá,Equipo macro,3691,324
2026-05-04,5103403,Cuiabá,Copo descartável,24237,2880
2026-05-05,5103403,Cuiabá,SRO,5695,540
2026-05-05,5103403,Cuiabá,"Soro fisiológico 0,9%",4512,432
2026-05-05,5103403,Cuiabá,Equipo macro,3631,324
2026-05-05,5103403,Cuiabá,Copo descartável,23748,2880
2026-05-06,5103403,Cuiabá,SRO,5561,540
2026-05-06,5103403,Cuiabá,"Soro fisiológico 0,9%",4510,432
2026-05-06,5103403,Cuiabá,Equipo macro,3563,324
2026-05-06,5103403,Cuiabá,Copo descartável,23270,2880
2026-05-07,5103403,Cuiabá,SRO,5516,540
2026-05-07,5103403,Cuiabá,"Soro fisiológico 0,9%",4377,432
2026-05-07,5103403,Cuiabá,Equipo macro,3524,324
2026-05-07,5103403,Cuiabá,Copo descartável,22868,2880
2026-05-08,5103403,Cuiabá,SRO,5413,540
2026-05-08,5103403,Cuiabá,"Soro fisiológico 0,9%",4331,432
2026-05-08,5103403,Cuiabá,Equipo macro,3416,324
2026-05-08,5103403,Cuiabá,Copo descartável,22377,2880
2026-05-09,5103403,Cuiabá,SRO,5371,540
2026-05-09,5103403,Cuiabá,"Soro fisiológico 0,9%",4255,432
2026-05-09,5103403,Cuiabá,Equipo macro,3391,324
2026-05-09,5103403,Cuiabá,Copo descartável,21912,2880
2026-05-10,5103403,Cuiabá,SRO,5254,540
2026-05-10,5103403,Cuiabá,"Soro fisiológico 0,9%",4215,432
2026-05-10,5103403,Cuiabá,Equipo macro,3354,324
2026-05-10,5103403,Cuiabá,Copo descartável,21427,2880
2026-05-11,5103403,Cuiabá,SRO,5214,540
2026-05-11,5103403,Cuiabá,"Soro fisiológico 0,9%",4157,432
2026-05-11,5103403,Cuiabá,Equipo macro,3299,324
2026-05-11,5103403,Cuiabá,Copo descartável,21015,2880
2026-05-12,5103403,Cuiabá,SRO,5118,540
2026-05-12,5103403,Cuiabá,"Soro fisiológico 0,9%",4102,432
2026-05-12,5103403,Cuiabá,Equipo macro,3280,324
2026-05-12,5103403,Cuiabá,Copo descartável,20529,2880
2026-05-13,5103403,Cuiabá,SRO,4990,540
2026-05-13,5103403,Cuiabá,"Soro fisiológico 0,9%",4015,432
2026-05-13,5103403,Cuiabá,Equipo macro,3150,324
2026-05-13,5103403,Cuiabá,Copo descartável,20075,2880
2026-05-14,5103403,Cuiabá,SRO,4956,540
2026-05-14,5103403,Cuiabá,"Soro fisiológico 0,9%",3917,432
2026-05-14,5103403,Cuiabá,Equipo macro,3092,324
2026-05-14,5103403,Cuiabá,Copo descartável,19667,2880
2026-05-15,5103403,Cuiabá,SRO,4835,540
2026-05-15,5103403,Cuiabá,"Soro fisiológico 0,9%",3873,432
2026-05-15,5103403,Cuiabá,Equipo macro,3077,324
2026-05-15,5103403,Cuiabá,Copo descartável,19134,2880
2026-05-16,5103403,Cuiabá,SRO,4706,540
2026-05-16,5103403,Cuiabá,"Soro fisiológico 0,9%",3813,432
2026-05-16,5103403,Cuiabá,Equipo macro,3038,324
2026-05-16,5103403,Cuiabá,Copo descartável,18750,2880
2026-05-17,5103403,Cuiabá,SRO,4645,540
2026-05-17,5103403,Cuiabá,"Soro fisiológico 0,9%",3706,432
2026-05-17,5103403,Cuiabá,Equipo macro,2927,324
2026-05-17,5103403,Cuiabá,Copo descartável,18273,2880
2026-05-18,5103403,Cuiabá,SRO,4574,540
2026-05-18,5103403,Cuiabá,"Soro fisiológico 0,9%",3643,432
2026-05-18,5103403,Cuiabá,Equipo macro,2936,324
2026-05-18,5103403,Cuiabá,Copo descartável,17772,2880
2026-05-19,5103403,Cuiabá,SRO,4451,540
2026-05-19,5103403,Cuiabá,"Soro fisiológico 0,9%",3615,432
2026-05-19,5103403,Cuiabá,Equipo macro,2902,324
2026-05-19,5103403,Cuiabá,Copo descartável,17298,2880
2026-05-20,5103403,Cuiabá,SRO,4366,540
2026-05-20,5103403,Cuiabá,"Soro fisiológico 0,9%",3519,432
2026-05-20,5103403,Cuiabá,Equipo macro,2836,324
2026-05-20,5103403,Cuiabá,Copo descartável,16842,2880
2026-05-21,5103403,Cuiabá,SRO,4355,540
2026-05-21,5103403,Cuiabá,"Soro fisiológico 0,9%",3438,432
2026-05-21,5103403,Cuiabá,Equipo macro,2783,324
2026-05-21,5103403,Cuiabá,Copo descartável,16412,2880
2026-05-22,5103403,Cuiabá,SRO,4179,540
2026-05-22,5103403,Cuiabá,"Soro fisiológico 0,9%",3408,432
2026-05-22,5103403,Cuiabá,Equipo macro,2757,324
2026-05-22,5103403,Cuiabá,Copo descartável,15971,2880
2026-05-23,5103403,Cuiabá,SRO,4112,540
2026-05-23,5103403,Cuiabá,"Soro fisiológico 0,9%",3336,432
2026-05-23,5103403,Cuiabá,Equipo macro,2656,324
2026-05-23,5103403,Cuiabá,Copo descartável,15443,2880
2026-05-24,5103403,Cuiabá,SRO,4056,540
2026-05-24,5103403,Cuiabá,"Soro fisiológico 0,9%",3278,432
2026-05-24,5103403,Cuiabá,Equipo macro,2583,324
2026-05-24,5103403,Cuiabá,Copo descartável,15040,2880
2026-05-25,5103403,Cuiabá,SRO,4007,540
2026-05-25,5103403,Cuiabá,"Soro fisiológico 0,9%",3198,432
2026-05-25,5103403,Cuiabá,Equipo macro,2515,324
2026-05-25,5103403,Cuiabá,Copo descartável,14579,2880
2026-05-26,5103403,Cuiabá,SRO,3869,540
2026-05-26,5103403,Cuiabá,"Soro fisiológico 0,9%",3098,432
2026-05-26,5103403,Cuiabá,Equipo macro,2491,324
2026-05-26,5103403,Cuiabá,Copo descartável,14114,2880
2026-05-27,5103403,Cuiabá,SRO,3763,540
2026-05-27,5103403,Cuiabá,"Soro fisiológico 0,9%",3033,432
2026-05-27,5103403,Cuiabá,Equipo macro,2423,324
2026-05-27,5103403,Cuiabá,Copo descartável,13642,2880
2026-05-28,5103403,Cuiabá,SRO,3719,540
2026-05-28,5103403,Cuiabá,"Soro fisiológico 0,9%",2942,432
2026-05-28,5103403,Cuiabá,Equipo macro,2382,324
2026-05-28,5103403,Cuiabá,Copo descartável,13139,2880
2026-05-29,5103403,Cuiabá,SRO,3594,540
2026-05-29,5103403,Cuiabá,"Soro fisiológico 0,9%",2890,432
2026-05-29,5103403,Cuiabá,Equipo macro,2368,324
2026-05-29,5103403,Cuiabá,Copo descartável,12677,2880
2026-05-30,5103403,Cuiabá,SRO,3501,540
2026-05-30,5103403,Cuiabá,"Soro fisiológico 0,9%",2863,432
2026-05-30,5103403,Cuiabá,Equipo macro,2349,324
2026-05-30,5103403,Cuiabá,Copo descartável,12275,2880
2026-05-31,5103403,Cuiabá,SRO,3457,540
2026-05-31,5103403,Cuiabá,"Soro fisiológico 0,9%",2759,432
2026-05-31,5103403,Cuiabá,Equipo macro,2250,324
2026-05-31,5103403,Cuiabá,Copo descartável,11771,2880
2026-06-01,5103403,Cuiabá,SRO,3346,540
2026-06-01,5103403,Cuiabá,"Soro fisiológico 0,9%",2639,432
2026-06-01,5103403,Cuiabá,Equipo macro,2179,324
2026-06-01,5103403,Cuiabá,Copo descartável,11295,2880
2026-06-02,5103403,Cuiabá,SRO,3305,540
2026-06-02,5103403,Cuiabá,"Soro fisiológico 0,9%",2626,432
2026-06-02,5103403,Cuiabá,Equipo macro,2190,324
2026-06-02,5103403,Cuiabá,Copo descartável,10854,2880
2026-06-03,5103403,Cuiabá,SRO,3172,540
2026-06-03,5103403,Cuiabá,"Soro fisiológico 0,9%",2560,432
2026-06-03,5103403,Cuiabá,Equipo macro,2097,324
2026-06-03,5103403,Cuiabá,Copo descartável,10404,2880
2026-06-04,5103403,Cuiabá,SRO,3144,540
2026-06-04,5103403,Cuiabá,"Soro fisiológico 0,9%",2455,432
2026-06-04,5103403,Cuiabá,Equipo macro,2089,324
2026-06-04,5103403,Cuiabá,Copo descartável,9916,2880
2026-06-05,5103403,Cuiabá,SRO,3004,540
2026-06-05,5103403,Cuiabá,"Soro fisiológico 0,9%",2414,432
2026-06-05,5103403,Cuiabá,Equipo macro,2018,324
2026-06-05,5103403,Cuiabá,Copo descartável,9490,2880
2026-06-06,5103403,Cuiabá,SRO,2946,540
2026-06-06,5103403,Cuiabá,"Soro fisiológico 0,9%",2336,432
2026-06-06,5103403,Cuiabá,Equipo macro,1985,324
2026-06-06,5103403,Cuiabá,Copo descartável,8992,2880
2026-06-07,5103403,Cuiabá,SRO,2846,540
2026-06-07,5103403,Cuiabá,"Soro fisiológico 0,9%",2300,432
2026-06-07,5103403,Cuiabá,Equipo macro,1858,324
2026-06-07,5103403,Cuiabá,Copo descartável,8526,2880
2026-06-08,5103403,Cuiabá,SRO,2768,540
2026-06-08,5103403,Cuiabá,"Soro fisiológico 0,9%",2203,432
2026-06-08,5103403,Cuiabá,Equipo macro,1793,324
2026-06-08,5103403,Cuiabá,Copo descartável,8116,2880
2026-06-09,5103403,Cuiabá,SRO,2634,540
2026-06-09,5103403,Cuiabá,"Soro fisiológico 0,9%",2117,432
2026-06-09,5103403,Cuiabá,Equipo macro,1779,324
2026-06-09,5103403,Cuiabá,Copo descartável,7684,2880
2026-06-10,5103403,Cuiabá,SRO,2213,570
2026-06-10,5103403,Cuiabá,"Soro fisiológico 0,9%",1711,462
2026-06-10,5103403,Cuiabá,Equipo macro,1517,354
2026-06-10,5103403,Cuiabá,Copo descartável,5045,2910
2026-06-11,5103403,Cuiabá,SRO,1676,600
2026-06-11,5103403,Cuiabá,"Soro fisiológico 0,9%",1341,492
2026-06-11,5103403,Cuiabá,Equipo macro,1176,384
2026-06-11,5103403,Cuiabá,Copo descartável,2436,2940
2026-06-12,5103403,Cuiabá,SRO,1205,630
2026-06-12,5103403,Cuiabá,"Soro fisiológico 0,9%",910,522
