data,cod_ibge,municipio,unidade,tipo_leito,leitos_total,leitos_ocupados,atendimentos_total,atendimentos_calor,desidratacao,insolacao,exaustao_calor
2026-04-28,5103403,Cuiabá,UPA Cuiabá,observacao,23,16,290,4,3,0,1
2026-04-28,5103403,Cuiabá,UPA Cuiabá,clinico,51,32,167,3,2,1,1
2026-04-28,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,6,305,6,6,0,0
2026-04-28,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,24,15,184,3,3,1,1
2026-04-28,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,51,33,239,4,2,0,1
2026-04-28,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,11,8,125,1,1,0,1
2026-04-28,5103403,Cuiabá,Referência Regional Cuiabá,observacao,22,15,182,2,0,1,1
2026-04-28,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,38,101,1,0,1,0
2026-04-28,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,7,123,2,1,0,1
2026-04-29,5103403,Cuiabá,UPA Cuiabá,observacao,24,16,288,3,3,0,0
2026-04-29,5103403,Cuiabá,UPA Cuiabá,clinico,52,35,171,2,2,1,1
2026-04-29,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,8,189,3,1,0,1
2026-04-29,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,24,17,202,4,2,0,0
2026-04-29,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,51,38,136,2,2,0,1
2026-04-29,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,10,156,2,0,0,1
2026-04-29,5103403,Cuiabá,Referência Regional Cuiabá,observacao,20,14,149,2,1,1,1
2026-04-29,5103403,Cuiabá,Referência Regional Cuiabá,clinico,51,32,140,2,1,0,1
2026-04-29,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,13,9,200,3,1,1,0
2026-04-30,5103403,Cuiabá,UPA Cuiabá,observacao,20,14,204,2,1,0,0
2026-04-30,5103403,Cuiabá,UPA Cuiabá,clinico,54,35,220,3,1,0,1
2026-04-30,5103403,Cuiabá,UPA Cuiabá,uti_adulto,15,9,143,2,2,0,1
2026-04-30,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,14,180,3,1,0,1
2026-04-30,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,34,202,3,1,1,0
2026-04-30,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,12,7,193,3,3,1,1
2026-04-30,5103403,Cuiabá,Referência Regional Cuiabá,observacao,24,17,171,2,1,1,1
2026-04-30,5103403,Cuiabá,Referência Regional Cuiabá,clinico,53,35,147,2,0,0,0
2026-04-30,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,13,8,180,2,2,1,0
2026-05-01,5103403,Cuiabá,UPA Cuiabá,observacao,21,13,143,2,1,0,1
2026-05-01,5103403,Cuiabá,UPA Cuiabá,clinico,53,38,292,4,2,1,1
2026-05-01,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,8,314,5,5,1,0
2026-05-01,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,21,15,233,3,1,0,0
2026-05-01,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,53,32,217,4,2,1,1
2026-05-01,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,15,10,228,3,1,1,0
2026-05-01,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,15,156,3,2,1,0
2026-05-01,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,34,167,2,1,1,0
2026-05-01,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,12,7,195,3,1,0,0
2026-05-02,5103403,Cuiabá,UPA Cuiabá,observacao,23,15,283,4,4,0,1
2026-05-02,5103403,Cuiabá,UPA Cuiabá,clinico,53,38,294,6,6,1,1
2026-05-02,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,8,215,4,3,0,1
2026-05-02,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,21,13,224,2,1,1,0
2026-05-02,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,53,39,237,2,1,0,0
2026-05-02,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,8,217,2,1,1,1
2026-05-02,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,14,182,3,2,1,1
2026-05-02,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,37,220,2,0,0,1
2026-05-02,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,12,8,99,1,1,0,0
2026-05-03,5103403,Cuiabá,UPA Cuiabá,observacao,24,14,167,2,2,0,1
2026-05-03,5103403,Cuiabá,UPA Cuiabá,clinico,52,37,178,3,1,0,0
2026-05-03,5103403,Cuiabá,UPA Cuiabá,uti_adulto,13,8,138,2,0,1,1
2026-05-03,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,21,12,156,2,1,0,0
2026-05-03,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,52,35,191,2,0,1,0
2026-05-03,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,10,116,1,0,1,0
2026-05-03,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,14,233,5,4,1,1
2026-05-03,5103403,Cuiabá,Referência Regional Cuiabá,clinico,53,38,162,2,2,0,1
