unidade_sentinela,cod_ibge,municipio,ano_epi,semana_epi,atendimentos_sg,atendimentos_total,amostras_coletadas
US Cuiabá PA,5103403,Cuiabá,2026,20,42,820,10
US Cuiabá PA,5103403,Cuiabá,2026,21,55,790,10
US Cuiabá PA,5103403,Cuiabá,2026,22,61,810,9
US Cuiabá PA,5103403,Cuiabá,2026,23,48,800,10
US Cuiabá PA,5103403,Cuiabá,2026,24,70,850,8
US Várzea Grande UPA,5108402,Várzea Grande,2026,20,28,610,7
US Várzea Grande UPA,5108402,Várzea Grande,2026,21,33,600,10
US Várzea Grande UPA,5108402,Várzea Grande,2026,22,40,620,10
US Várzea Grande UPA,5108402,Várzea Grande,2026,23,36,615,6
US Várzea Grande UPA,5108402,Várzea Grande,2026,24,45,630,10
US Rondonópolis,5107602,Rondonópolis,2026,20,18,420,4
US Rondonópolis,5107602,Rondonópolis,2026,21,22,430,10
US Rondonópolis,5107602,Rondonópolis,2026,22,25,440,10
US Rondonópolis,5107602,Rondonópolis,2026,23,20,410,5
US Rondonópolis,5107602,Rondonópolis,2026,24,30,450,10
