cod_ibge,populacao_censo_2022,idosos_60mais,criancas_0_4,criancas_0_9,idosos_pct,criancas_0_4_pct,criancas_0_9_pct,rural_pct,area_km2,densidade,fonte_vulnerabilidade,atualizado_em
5100102,5014.0,1075.0,302.0,671.0,21.44,6.02,13.38,40.39,840.6,5.96,IBGE_Censo_2022,2026-08-02
5100201,29219.0,2983.0,2226.0,4439.0,10.21,7.62,15.19,16.07,7537.9,3.88,IBGE_Censo_2022,2026-08-02
5100250,58613.0,7327.0,4402.0,8506.0,12.5,7.51,14.51,12.29,9212.5,6.36,IBGE_Censo_2022,2026-08-02
5100300,17193.0,2646.0,1114.0,2339.0,15.39,6.48,13.6,12.27,5514.5,3.12,IBGE_Censo_2022,2026-08-02
5100359,5715.0,597.0,512.0,1056.0,10.45,8.96,18.48,32.81,2240.4,2.55,IBGE_Censo_2022,2026-08-02
5100409,13052.0,1650.0,993.0,1937.0,12.64,7.61,14.84,7.36,3748.1,3.48,IBGE_Censo_2022,2026-08-02
5100508,8009.0,1474.0,543.0,1091.0,18.4,6.78,13.62,33.09,1846.3,4.34,IBGE_Censo_2022,2026-08-02
5100607,10904.0,936.0,899.0,1815.0,8.58,8.24,16.65,5.63,1416.5,7.7,IBGE_Censo_2022,2026-08-02
5100805,8590.0,939.0,716.0,1426.0,10.93,8.34,16.6,27.23,20379.9,0.42,IBGE_Censo_2022,2026-08-02
5101001,3795.0,593.0,262.0,546.0,15.63,6.9,14.39,33.1,6429.4,0.59,IBGE_Censo_2022,2026-08-02
5101209,1010.0,225.0,50.0,121.0,22.28,4.95,11.98,14.65,688.0,1.47,IBGE_Censo_2022,2026-08-02
5101258,14786.0,2075.0,1077.0,2102.0,14.03,7.28,14.22,15.18,1600.3,9.24,IBGE_Censo_2022,2026-08-02
5101308,10576.0,1613.0,776.0,1536.0,15.25,7.34,14.52,6.6,416.4,25.4,IBGE_Censo_2022,2026-08-02
5101407,24626.0,1875.0,2181.0,4330.0,7.61,8.86,17.58,26.12,24613.0,1.0,IBGE_Censo_2022,2026-08-02
