cod_ibge,domicilios_total_agua,domicilios_rede_agua,domicilios_sem_rede_agua,cobertura_rede_agua_pct,deficit_rede_agua_pct,cobertura_agua_canalizada_pct,deficit_agua_canalizada_pct,domicilios_total_esgoto,domicilios_esgoto_rede,cobertura_esgoto_rede_pct,deficit_esgoto_inadequado_pct,indice_deficit_wash,fonte_wash,atualizado_em
5100102,1821.0,1215.0,109.0,66.72,5.99,96.87,0.49,1821.0,28.0,1.54,84.46,40.2,IBGE_Censo_2022,2026-08-02
5100201,10343.0,8580.0,1461.0,82.95,14.13,99.22,0.56,10343.0,824.0,7.97,74.58,38.6,IBGE_Censo_2022,2026-08-02
5100250,20928.0,15210.0,4297.0,72.68,20.53,98.91,0.17,20928.0,6661.0,31.83,53.81,31.4,IBGE_Censo_2022,2026-08-02
5100300,6644.0,5745.0,537.0,86.47,8.08,99.58,0.15,6644.0,1060.0,15.95,76.37,37.2,IBGE_Censo_2022,2026-08-02
5100359,1787.0,1239.0,390.0,69.33,21.82,53.95,4.36,1787.0,25.0,1.4,31.0,22.5,IBGE_Censo_2022,2026-08-02
5100409,4583.0,4147.0,384.0,90.49,8.38,99.72,0.13,4583.0,91.0,1.99,93.13,44.9,IBGE_Censo_2022,2026-08-02
5100508,3016.0,2144.0,829.0,71.09,27.49,91.15,0.36,3016.0,581.0,19.26,75.93,43.9,IBGE_Censo_2022,2026-08-02
5100607,3914.0,3713.0,184.0,94.86,4.7,99.95,,3914.0,71.0,1.81,93.74,43.9,IBGE_Censo_2022,2026-08-02
5100805,2807.0,1330.0,1196.0,47.38,42.61,96.97,1.03,2807.0,25.0,0.89,89.06,55.2,IBGE_Censo_2022,2026-08-02
5101001,1457.0,1010.0,193.0,69.32,13.25,98.01,0.21,1457.0,4.0,0.27,96.98,48.3,IBGE_Censo_2022,2026-08-02
5101209,408.0,358.0,47.0,87.75,11.52,99.02,,408.0,16.0,3.92,91.18,45.1,IBGE_Censo_2022,2026-08-02
5101258,5498.0,4753.0,707.0,86.45,12.86,98.76,0.13,5498.0,1282.0,23.32,64.1,33.4,IBGE_Censo_2022,2026-08-02
5101308,3812.0,3243.0,488.0,85.07,12.8,99.13,0.16,3812.0,213.0,5.59,66.71,34.5,IBGE_Censo_2022,2026-08-02
5101407,7781.0,4512.0,3129.0,57.99,40.21,97.44,1.0,7781.0,345.0,4.43,73.18,47.2,IBGE_Censo_2022,2026-08-02
5101605,2438.0,921.0,979.0,37.78,40.16,89.29,1.93,2438.0,333.0,13.66,77.73,49.4,IBGE_Censo_2022,2026-08-02
5101704,10550.0,9112.0,1120.0,86.37,10.62,98.27,0.27,10550.0,2566.0,24.32,44.7,23.9,IBGE_Censo_2022,2026-08-02
5101803,25285.0,23668.0,1163.0,93.6,4.6,97.49,0.48,25285.0,12554.0,49.65,30.67,15.5,IBGE_Censo_2022,2026-08-02
5101852,2474.0,83.0,2314.0,3.35,93.53,89.29,0.61,2474.0,19.0,0.77,80.07,68.9,IBGE_Censo_2022,2026-08-02
5101902,5771.0,3707.0,1604.0,64.23,27.79,94.89,0.28,5771.0,577.0,10.0,67.41,40.1,IBGE_Censo_2022,2026-08-02
5102504,31076.0,24146.0,5780.0,77.7,18.6,97.8,0.78,31076.0,6360.0,20.47,34.12,22.0,IBGE_Censo_2022,2026-08-02
5102603,3756.0,1993.0,1346.0,53.06,35.84,70.42,7.72,3756.0,156.0,4.15,93.5,56.2,IBGE_Censo_2022,2026-08-02
5102637,15294.0,14350.0,527.0,93.83,3.45,99.35,0.04,15294.0,773.0,5.05,26.94,13.3,IBGE_Censo_2022,2026-08-02
5102678,15418.0,13583.0,1060.0,88.1,6.88,99.79,0.01,15418.0,8556.0,55.49,18.71,10.8,IBGE_Censo_2022,2026-08-02
5102686,2882.0,2173.0,305.0,75.4,10.58,99.31,0.21,2882.0,15.0,0.52,27.2,16.0,IBGE_Censo_2022,2026-08-02
5102694,1567.0,242.0,974.0,15.44,62.16,91.77,1.08,1567.0,2.0,0.13,91.13,63.0,IBGE_Censo_2022,2026-08-02
5102702,8878.0,7391.0,1131.0,83.25,12.74,96.78,0.61,8878.0,275.0,3.1,51.31,27.7,IBGE_Censo_2022,2026-08-02
5102793,3784.0,1903.0,1686.0,50.29,44.56,98.84,0.4,3784.0,7.0,0.18,83.83,53.4,IBGE_Censo_2022,2026-08-02
5102850,2722.0,1402.0,1273.0,51.51,46.77,99.49,0.07,2722.0,22.0,0.81,95.52,59.4,IBGE_Censo_2022,2026-08-02
5103007,6892.0,4635.0,1074.0,67.25,15.58,96.62,0.41,6892.0,403.0,5.85,57.72,31.5,IBGE_Censo_2022,2026-08-02
5103056,3395.0,2473.0,862.0,72.84,25.39,99.29,0.32,3395.0,1531.0,45.1,16.23,16.3,IBGE_Censo_2022,2026-08-02
