cod_ibge,municipio,regional_saude,data_referencia,fila_media_h,tempo_espera_h,solicitacoes_abertas,fonte,atualizado_em
5100102,Acorizal,,2026-08-29,4717.066697561855,4717.066697561855,1922,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100201,Água Boa,,2026-08-29,2501.4656880367484,2501.4656880367484,5367,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100250,Alta Floresta,,2026-08-29,3598.694592255777,3598.694592255777,31368,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100300,Alto Araguaia,,2026-08-29,4096.778031740555,4096.778031740555,467,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100359,Alto Boa Vista,,2026-08-29,2594.55040526849,2594.55040526849,310,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100409,Alto Garças,,2026-08-29,3925.138307030129,3925.138307030129,495,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100508,Alto Paraguai,,2026-08-29,3128.856926608557,3128.856926608557,1658,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100607,Alto Taquari,,2026-08-29,3212.154228855721,3212.154228855721,474,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5100805,Apiacás,,2026-08-29,3305.5602536997885,3305.5602536997885,592,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101001,Araguaiana,,2026-08-29,3764.0119047619046,3764.0119047619046,315,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101209,Araguainha,,2026-08-29,2456.2422680412374,2456.2422680412374,109,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101258,Araputanga,,2026-08-29,4127.479593521753,4127.479593521753,1510,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101308,Arenápolis,,2026-08-29,3264.3154602971904,3264.3154602971904,1286,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101407,Aripuanã,,2026-08-29,3812.3840561669076,3812.3840561669076,1171,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101605,Barão de Melgaço,,2026-08-29,4225.504792701236,4225.504792701236,1363,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101704,Barra do Bugres,,2026-08-29,3850.1071743379757,3850.1071743379757,3440,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101803,Barra do Garças,,2026-08-29,3692.4420516788905,3692.4420516788905,31496,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101837,Boa Esperança do Norte,,2026-08-29,3248.0615384615385,3248.0615384615385,548,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101852,Bom Jesus do Araguaia,,2026-08-29,3360.805833636695,3360.805833636695,395,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5101902,Brasnorte,,2026-08-29,3653.5564899125156,3653.5564899125156,1957,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102504,Cáceres,,2026-08-29,3972.966150008294,3972.966150008294,7553,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102603,Campinápolis,,2026-08-29,3412.886437334938,3412.886437334938,625,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102637,Campo Novo do Parecis,,2026-08-29,3572.151487716703,3572.151487716703,6614,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102678,Campo Verde,,2026-08-29,3887.950880255807,3887.950880255807,3219,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102686,Campos de Júlio,,2026-08-29,3922.5717469820715,3922.5717469820715,567,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102694,Canabrava do Norte,,2026-08-29,3430.4500768049156,3430.4500768049156,262,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102702,Canarana,,2026-08-29,4129.097594478692,4129.097594478692,892,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102793,Carlinda,,2026-08-29,3269.9637281553396,3269.9637281553396,1670,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5102850,Castanheira,,2026-08-29,3419.97288590604,3419.97288590604,820,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103007,Chapada dos Guimarães,,2026-08-29,3733.9345679588187,3733.9345679588187,11319,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103056,Cláudia,,2026-08-29,3227.941856943856,3227.941856943856,1412,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103106,Cocalinho,,2026-08-29,3810.2580645161293,3810.2580645161293,246,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103205,Colíder,,2026-08-29,3603.627104168011,3603.627104168011,4929,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103254,Colniza,,2026-08-29,4075.426924165252,4075.426924165252,1450,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103304,Comodoro,,2026-08-29,3827.895280036134,3827.895280036134,982,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103353,Confresa,,2026-08-29,3466.6106740878167,3466.6106740878167,1792,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103361,Conquista D'Oeste,,2026-08-29,4088.4674126512905,4088.4674126512905,447,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103379,Cotriguaçu,,2026-08-29,3619.682650880064,3619.682650880064,837,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103403,Cuiabá,,2026-08-29,3481.338355894816,3481.338355894816,222258,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103437,Curvelândia,,2026-08-29,3953.854904734955,3953.854904734955,748,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
